MALLA,ID POZO,DIAMETRO PLG,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,CARGA COLUMNA REAL,KG COLUMNA REAL
MAF9-SE-3320-02,1110,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1112,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1113,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1114,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1115,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1116,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1117,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1209,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1210,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1211,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1212,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1215,12.25,VERTEX 50,50.0,VERTEX 50,50.0
